generation ,engine,start_of_production,powertrain_architecture,body_type,seats,doors,acceleration_0-100km/h,maximum_speed,weight-to-power_ratio,weight-to-torque_ratio,power,power_per_litre,torque,engine_layout,engine_displacement,number_of_cylinders,engine_configuration,fuel_tank_capacity,length,width,height,drive_wheel,number_of_gears_and_type_of_gearbox,fuel_consumption_combined,end_of_production
911 (991 II),Carrera S 3.0 (420 Hp) ,2015,Internal Combustion engine ,Coupe ,4,2,4.3,308,"3.4 kg/Hp, 291.7 Hp/tonne ","2.9 kg/Nm, 347.2 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1302,Rear wheel drive ,"7 gears, manual transmission ",8.7,2018
911 (991 II),Carrera 4S 3.0 (420 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4,2,4,303,"3.6 kg/Hp, 278.1 Hp/tonne ","3 kg/Nm, 331.1 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,67,4499,1852,1298,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",7.9,2018
911 (991 II),Carrera 4S 3.0 (420 Hp) ,2015,Internal Combustion engine ,Coupe ,4,2,4.2,305,"3.5 kg/Hp, 281.9 Hp/tonne ","3 kg/Nm, 335.6 Nm/tonne ",420 Hp @ 6500 rpm. ,140.9,500 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,68,4499,1852,1298,All wheel drive (4x4) ,"7 gears, manual transmission ",8.9,2018
911 (991 II),Carrera T 3.0 (370 Hp) PDK ,2017,Internal Combustion engine ,Coupe ,4,2,4.2,291,"3.9 kg/Hp, 256.1 Hp/tonne ","3.2 kg/Nm, 311.4 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4527,1808,1285,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.5,2018
911 (991 II),Carrera T 3.0 (370 Hp) ,2017,Internal Combustion engine ,Coupe ,4,2,4.5,293,"3.9 kg/Hp, 259.6 Hp/tonne ","3.2 kg/Nm, 315.8 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4527,1808,1285,Rear wheel drive ,"7 gears, manual transmission ",9.5,2018
911 (991 II),Carrera 3.0 (370 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,4,2,4.4,293,"3.9 kg/Hp, 255.2 Hp/tonne ","3.2 kg/Nm, 310.3 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1294,Rear wheel drive ,"7 gears, automatic transmission PDK ",7.4,2018
911 (991 II),Carrera 3.0 (370 Hp) ,2015,Internal Combustion engine ,Coupe ,4,2,4.6,295,"3.9 kg/Hp, 258.7 Hp/tonne ","3.2 kg/Nm, 314.7 Nm/tonne ",370 Hp @ 6500 rpm. ,124.1,450 Nm @ 1700-5000 rpm.,"Rear, Longitudinal ",2981,6,Boxer ,64,4499,1808,1294,Rear wheel drive ,"7 gears, manual transmission ",8.3,2018
911 Targa (991),4S 3.8 (400 Hp) PDK ,2014,Internal Combustion engine ,Targa ,4,2,4.4,294,"3.9 kg/Hp, 254 Hp/tonne ","3.6 kg/Nm, 279.4 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1289,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.2,2015
911 Targa (991),4S 3.8 (400 Hp) ,2014,Internal Combustion engine ,Targa ,4,2,4.8,296,"3.9 kg/Hp, 257.2 Hp/tonne ","3.5 kg/Nm, 283 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1291,All wheel drive (4x4) ,"7 gears, manual transmission ",10,2015
911 Targa (991),4 GTS 3.8 (430 Hp) PDK ,2015,Internal Combustion engine ,Targa ,4,2,4.3,301,"3.7 kg/Hp, 272.2 Hp/tonne ","3.6 kg/Nm, 278.5 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1291,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.2,2015
911 Targa (991),4 GTS 3.8 (430 Hp) ,2015,Internal Combustion engine ,Targa ,4,2,4.7,303,"3.6 kg/Hp, 275.6 Hp/tonne ","3.5 kg/Nm, 282.1 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1291,All wheel drive (4x4) ,"7 gears, manual transmission ",10,2015
911 Targa (991),4 3.4 (350 Hp) PDK ,2014,Internal Combustion engine ,Targa ,4,2,4.8,280,"4.5 kg/Hp, 224.4 Hp/tonne ","4 kg/Nm, 250 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1298,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8.7,2015
911 Targa (991),4 3.4 (350 Hp) ,2014,Internal Combustion engine ,Targa ,4,2,5.2,282,"4.4 kg/Hp, 227.3 Hp/tonne ","3.9 kg/Nm, 253.2 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1298,All wheel drive (4x4) ,"7 gears, manual transmission ",9.5,2015
911 Cabriolet (991),Turbo S 3.8 (560 Hp) PDK ,2013,Internal Combustion engine ,Cabriolet ,4,2,3.1,318,"3 kg/Hp, 335.3 Hp/tonne ","2.4 kg/Nm, 419.2 Nm/tonne ",560 Hp @ 6500-6750 rpm. ,147.4,700 Nm @ 2100-4250 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4506,1880,1295,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.7,2016
911 Cabriolet (991),Turbo 3.8 (520 Hp) PDK ,2013,Internal Combustion engine ,Cabriolet ,4,2,3.5,315,"3.2 kg/Hp, 312.3 Hp/tonne ","2.5 kg/Nm, 396.4 Nm/tonne ",520 Hp @ 6000-6500 rpm. ,136.8,660 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4506,1880,1292,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.9,2016
911 Cabriolet (991),Carrera GTS 3.8 (430 Hp) PDK ,2014,Internal Combustion engine ,Cabriolet ,4,2,4.2,302,"3.5 kg/Hp, 283.8 Hp/tonne ","3.4 kg/Nm, 290.4 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4509,1852,1292,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.9,2015
911 Cabriolet (991),Carrera GTS 3.8 (430 Hp) ,2014,Internal Combustion engine ,Cabriolet ,4,2,4.6,304,"3.5 kg/Hp, 287.6 Hp/tonne ","3.4 kg/Nm, 294.3 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4509,1852,1292,Rear wheel drive ,"7 gears, manual transmission ",9.7,2015
911 Cabriolet (991),Carrera 4 GTS 3.8 (430 Hp) PDK ,2014,Internal Combustion engine ,Cabriolet ,4,2,4.2,301,"3.6 kg/Hp, 275.6 Hp/tonne ","3.5 kg/Nm, 282.1 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1294,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.2,2015
911 Cabriolet (991),Carrera 4 GTS 3.8 (430 Hp) ,2014,Internal Combustion engine ,Cabriolet ,4,2,4.6,303,"3.6 kg/Hp, 279.2 Hp/tonne ","3.5 kg/Nm, 285.7 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1294,All wheel drive (4x4) ,"7 gears, manual transmission ",10,2015
911 Cabriolet (991),Carrera S 3.8 (400 Hp) PDK ,2011,Internal Combustion engine ,Cabriolet ,4,2,4.3,299,"3.8 kg/Hp, 265.8 Hp/tonne ","3.4 kg/Nm, 292.4 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4491,1808,1292,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.9,2015
911 Cabriolet (991),Carrera S 3.8 (400 Hp) ,2011,Internal Combustion engine ,Cabriolet ,4,2,4.7,301,"3.7 kg/Hp, 269.4 Hp/tonne ","3.4 kg/Nm, 296.3 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4491,1808,1292,Rear wheel drive ,"7 gears, manual transmission ",9.7,2015
911 Cabriolet (991),Carrera 4S 3.8 (400 Hp) PDK S ,2012,Internal Combustion engine ,Cabriolet ,4,2,4.3,294,"3.9 kg/Hp, 257.2 Hp/tonne ","3.5 kg/Nm, 283 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1293,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.2,2015
911 Cabriolet (991),Carrera 4S 3.8 (400 Hp) ,2012,Internal Combustion engine ,Cabriolet ,4,2,4.7,296,"3.8 kg/Hp, 260.6 Hp/tonne ","3.5 kg/Nm, 286.6 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1294,All wheel drive (4x4) ,"7 gears, manual transmission ",10,2015
911 Cabriolet (991),Carrera 4 3.4 (350 Hp) PDK ,2012,Internal Combustion engine ,Cabriolet ,4,2,4.7,280,"4.4 kg/Hp, 227.3 Hp/tonne ","3.9 kg/Nm, 253.2 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8.7,2015
911 Cabriolet (991),Carrera 4 3.4 (350 Hp) ,2012,Internal Combustion engine ,Cabriolet ,4,2,5.1,282,"4.3 kg/Hp, 230.3 Hp/tonne ","3.9 kg/Nm, 256.6 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1300,All wheel drive (4x4) ,"7 gears, manual transmission ",9.5,2015
911 Cabriolet (991),Carrera 3.4 (350 Hp) PDK ,2011,Internal Combustion engine ,Cabriolet ,4,2,4.6,284,"4.3 kg/Hp, 234.9 Hp/tonne ","3.8 kg/Nm, 261.7 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,64,4491,1808,1299,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.4,2015
911 Cabriolet (991),Carrera 3.4 (350 Hp) ,2011,Internal Combustion engine ,Cabriolet ,4,2,5,286,"4.2 kg/Hp, 238.1 Hp/tonne ","3.8 kg/Nm, 265.3 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,64,4491,1808,1299,Rear wheel drive ,"7 gears, manual transmission ",9.2,2015
911 (991),Turbo S 3.8 (560 Hp) PDK ,2013,Internal Combustion engine ,Coupe ,4,2,3.1,318,"2.9 kg/Hp, 348.9 Hp/tonne ","2.3 kg/Nm, 436.1 Nm/tonne ",560 Hp @ 6500-6750 rpm. ,147.4,700 Nm @ 2100-4250 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4506,1880,1296,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.7,2016
911 (991),Turbo 3.8 (520 Hp) PDK ,2013,Internal Combustion engine ,Coupe ,4,2,,312,"3.1 kg/Hp, 326 Hp/tonne ","2.4 kg/Nm, 413.8 Nm/tonne ",520 Hp @ 6000-6500 rpm. ,,660 Nm @ 1950-5000 rpm.,"Front, Transverse ",,6,Boxer ,68,4506,1880,1295,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",14.1,2016
911 (991),R 4.0 (500 Hp) ,2016,Internal Combustion engine ,Coupe ,2,2,3.8,323,"2.7 kg/Hp, 365 Hp/tonne ","3 kg/Nm, 335.8 Nm/tonne ",500 Hp @ 8250 rpm. ,125.1,460 Nm @ 6250 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4532,1852,1276,Rear wheel drive ,"6 gears, manual transmission ",13.3,2016
911 (991),GT3 RS 4.0 (500 Hp) PDK ,2015,Internal Combustion engine ,Coupe ,2,2,3.3,310,"2.8 kg/Hp, 352.1 Hp/tonne ","3.1 kg/Nm, 323.9 Nm/tonne ",500 Hp @ 8250 rpm. ,125.1,460 Nm @ 6250 rpm.,"Rear, Longitudinal ",3996,6,Boxer ,64,4545,1880,1291,Rear wheel drive ,"7 gears, automatic transmission PDK ",12.7,2017
911 (991),GT3 3.8 (475 Hp) PDK ,2013,Internal Combustion engine ,Coupe ,2,2,3.5,315,"3 kg/Hp, 332.2 Hp/tonne ","3.3 kg/Nm, 307.7 Nm/tonne ",475 Hp @ 8250 rpm. ,125,440 Nm @ 6250 rpm.,"Rear, Longitudinal ",3799,6,Boxer ,64,4545,1852,1269,Rear wheel drive ,"7 gears, automatic transmission PDK ",12.4,2017
911 (991),Carrera GTS 3.8 (430 Hp) PDK ,2014,Internal Combustion engine ,Coupe ,4,2,4,304,"3.4 kg/Hp, 297.6 Hp/tonne ","3.3 kg/Nm, 304.5 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4509,1852,1295,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.7,2015
911 (991),Carrera GTS 3.8 (430 Hp) ,2014,Internal Combustion engine ,Coupe ,4,2,4.4,306,"3.3 kg/Hp, 301.8 Hp/tonne ","3.2 kg/Nm, 308.8 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4509,1852,1295,Rear wheel drive ,"7 gears, manual transmission ",9.5,2015
911 (991),Carrera 4 GTS 3.8 (430 Hp) PDK ,2014,Internal Combustion engine ,Coupe ,4,2,4,302,"3.5 kg/Hp, 288.6 Hp/tonne ","3.4 kg/Nm, 295.3 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1296,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.1,2015
911 (991),Carrera 4 GTS 3.8 (430 Hp) ,2014,Internal Combustion engine ,Coupe ,4,2,4.4,304,"3.4 kg/Hp, 292.5 Hp/tonne ","3.3 kg/Nm, 299.3 Nm/tonne ",430 Hp @ 7500 rpm. ,113.2,440 Nm @ 5750 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4509,1852,1296,All wheel drive (4x4) ,"7 gears, manual transmission ",9.9,2015
911 (991),Carrera S 3.8 (400 Hp) PDK ,2011,Internal Combustion engine ,Coupe ,4,2,4.1,302,"3.6 kg/Hp, 278.7 Hp/tonne ","3.3 kg/Nm, 306.6 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4491,1808,1295,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.7,2015
911 (991),Carrera S 3.8 (400 Hp) ,2011,Internal Combustion engine ,Coupe ,4,2,4.5,304,"3.5 kg/Hp, 282.7 Hp/tonne ","3.2 kg/Nm, 311 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4491,1808,1295,Rear wheel drive ,"7 gears, manual transmission ",9.5,2015
911 (991),Carrera 4S 3.8 (400 Hp) PDK ,2012,Internal Combustion engine ,Coupe ,4,2,4.1,297,"3.7 kg/Hp, 269.4 Hp/tonne ","3.4 kg/Nm, 296.3 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1295,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",9.1,2015
911 (991),Carrera 4S 3.8 (400 Hp) ,2012,Internal Combustion engine ,Coupe ,4,2,4.5,299,"3.7 kg/Hp, 273 Hp/tonne ","3.3 kg/Nm, 300.3 Nm/tonne ",400 Hp @ 7400 rpm. ,105.3,440 Nm @ 5600 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,68,4491,1852,1296,All wheel drive (4x4) ,"7 gears, manual transmission ",9.9,2015
911 (991),Carrera 4 3.4 (350 Hp) PDK ,2012,Internal Combustion engine ,Coupe ,4,2,4.5,283,"4.2 kg/Hp, 238.1 Hp/tonne ","3.8 kg/Nm, 265.3 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1304,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",8.6,2015
911 (991),Carrera 4 3.4 (350 Hp) ,2012,Internal Combustion engine ,Coupe ,4,2,4.9,285,"4.1 kg/Hp, 241.4 Hp/tonne ","3.7 kg/Nm, 269 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Rear, Longitudinal ",3436,6,Boxer ,68,4491,1852,1304,All wheel drive (4x4) ,"7 gears, manual transmission ",9.3,2015
911 (991),Carrera 3.4 (350 Hp) PDK ,2011,Internal Combustion engine ,Coupe ,4,2,4.4,287,"4.1 kg/Hp, 246.5 Hp/tonne ","3.6 kg/Nm, 274.6 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Middle, Longitudinal ",3436,6,Boxer ,64,4491,1808,1303,Rear wheel drive ,"7 gears, automatic transmission PDK ",8.2,2015
911 (991),Carrera 3.4 (350 Hp) ,2011,Internal Combustion engine ,Coupe ,4,2,4.8,289,"4 kg/Hp, 250 Hp/tonne ","3.6 kg/Nm, 278.6 Nm/tonne ",350 Hp @ 7400 rpm. ,101.9,390 Nm @ 5600 rpm.,"Middle, Longitudinal ",3436,6,Boxer ,64,4491,1808,1303,Rear wheel drive ,"7 gears, manual transmission ",9,2015
"911 Cabriolet (997, facelift 2008)",Turbo S 3.8 (530 Hp) PDK ,2010,Internal Combustion engine ,Cabriolet ,4,2,3.4,315,"3.1 kg/Hp, 319.3 Hp/tonne ","2.4 kg/Nm, 421.7 Nm/tonne ",530 Hp @ 6250-6750 rpm. ,139.5,700 Nm @ 2100-4250 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"7 gears, manual transmission PDK ",11.3,2011
"911 Cabriolet (997, facelift 2008)",Turbo 3.8 (500 Hp) PDK ,2009,Internal Combustion engine ,Cabriolet ,4,2,3.5,312,"3.3 kg/Hp, 299.4 Hp/tonne ","2.6 kg/Nm, 389.2 Nm/tonne ",500 Hp @ 6000-6500 rpm. ,131.6,650 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",11.5,2011
"911 Cabriolet (997, facelift 2008)",Turbo 3.8 (500 Hp) ,2009,Internal Combustion engine ,Cabriolet ,4,2,3.8,312,"3.3 kg/Hp, 304 Hp/tonne ","2.5 kg/Nm, 395.1 Nm/tonne ",500 Hp @ 6000-6500 rpm. ,131.6,650 Nm @ 1950-5000 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4450,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.7,2011
"911 Cabriolet (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) PDK ,2010,Internal Combustion engine ,Cabriolet ,4,2,4.6,340,"3.8 kg/Hp, 264.1 Hp/tonne ","3.7 kg/Nm, 271.8 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,Rear wheel drive ,"7 gears, automatic transmission PDK ",10.3,2011
"911 Cabriolet (997, facelift 2008)",Carrera GTS 3.8 (408 Hp) ,2010,Internal Combustion engine ,Cabriolet ,4,2,4.8,306,"3.7 kg/Hp, 269.3 Hp/tonne ","3.6 kg/Nm, 277.2 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,Rear wheel drive ,"6 gears, manual transmission ",10.8,2011
"911 Cabriolet (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) PDK ,2010,Internal Combustion engine ,Cabriolet ,4,2,4.4,300,"3.9 kg/Hp, 255.8 Hp/tonne ","3.8 kg/Nm, 263.3 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.7,2011
"911 Cabriolet (997, facelift 2008)",Carrera 4 GTS 3.8 (408 Hp) ,2010,Internal Combustion engine ,Cabriolet ,4,2,4.8,302,"3.8 kg/Hp, 260.7 Hp/tonne ","3.7 kg/Nm, 268.4 Nm/tonne ",408 Hp @ 7300 rpm. ,107.4,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.2,2011
"911 Cabriolet (997, facelift 2008)",Carrera S 3.8 (385 Hp) PDK ,2008,Internal Combustion engine ,Cabriolet ,4,2,4.7,300,"4 kg/Hp, 250 Hp/tonne ","3.7 kg/Nm, 272.7 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4435,1808,1300,Rear wheel drive ,"7 gears, automatic transmission PDK ",10.3,2012
"911 Cabriolet (997, facelift 2008)",Carrera S 3.8 (385 Hp) ,2008,Internal Combustion engine ,Cabriolet ,4,2,4.9,302,"3.9 kg/Hp, 255 Hp/tonne ","3.6 kg/Nm, 278.1 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4400 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,64,4435,1808,1300,Rear wheel drive ,"6 gears, manual transmission ",10.8,2012
"911 Cabriolet (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) PDK ,2008,Internal Combustion engine ,Cabriolet ,4,2,4.5,295,"4.1 kg/Hp, 241.4 Hp/tonne ","3.8 kg/Nm, 263.3 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.7,2012
"911 Cabriolet (997, facelift 2008)",Carrera 4S 3.8 (385 Hp) ,2008,Internal Combustion engine ,Cabriolet ,4,2,4.9,297,"4.1 kg/Hp, 246 Hp/tonne ","3.7 kg/Nm, 268.4 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11.2,2012
"911 Cabriolet (997, facelift 2008)",Carrera 4 3.6 (345 Hp) PDK ,2008,Internal Combustion engine ,Cabriolet ,4,2,5,282,"4.6 kg/Hp, 217.7 Hp/tonne ","4.1 kg/Nm, 246.1 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,6,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.3,2011
"911 Cabriolet (997, facelift 2008)",Carrera 4 3.6 (345 Hp) ,2008,Internal Combustion engine ,Cabriolet ,4,2,5.2,284,"4.5 kg/Hp, 221.9 Hp/tonne ","4 kg/Nm, 250.8 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,6,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",10.8,2011
"911 Cabriolet (997, facelift 2008)",Carrera 3.6 (345 Hp) PDK ,2008,Internal Combustion engine ,Cabriolet ,4,2,4.9,287,"4.4 kg/Hp, 225.5 Hp/tonne ","3.9 kg/Nm, 254.9 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,,Boxer ,64,4435,1808,1310,Rear wheel drive ,"7 gears, automatic transmission PDK ",9.9,2012
"911 Cabriolet (997, facelift 2008)",Carrera 3.6 (345 Hp) ,2008,Internal Combustion engine ,Cabriolet ,4,2,5.1,289,"4.3 kg/Hp, 230 Hp/tonne ","3.8 kg/Nm, 260 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Rear, Longitudinal ",3614,,Boxer ,64,4435,1808,1310,Rear wheel drive ,"6 gears, manual transmission ",10.4,2012
"911 Targa (997, facelift 2008)",Targa 4S 3.8 (385 Hp) PDK ,2008,Internal Combustion engine ,Targa ,4,2,4.7,295,"4.1 kg/Hp, 245.2 Hp/tonne ","3.7 kg/Nm, 267.5 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.7,2013
"911 Targa (997, facelift 2008)",Targa 4S 3.8 (385 Hp) ,2008,Internal Combustion engine ,Targa ,4,2,4.9,297,"4 kg/Hp, 250 Hp/tonne ","3.7 kg/Nm, 272.7 Nm/tonne ",385 Hp @ 6500 rpm. ,101.3,420 Nm @ 4200 rpm.,"Rear, Longitudinal ",3800,6,Boxer ,67,4435,1852,1300,All wheel drive (4x4) ,"6 gears, manual transmission ",11,2013
"911 Targa (997, facelift 2008)",Targa 4 3.6 (345 Hp) PDK ,2008,Internal Combustion engine ,Targa ,4,2,5,282,"4.5 kg/Hp, 221.2 Hp/tonne ","4 kg/Nm, 250 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Front, Transverse ",3614,6,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"7 gears, automatic transmission PDK ",10.3,2013
"911 Targa (997, facelift 2008)",Targa 4 3.6 (345 Hp) ,2008,Internal Combustion engine ,Targa ,4,2,5.2,284,"4.4 kg/Hp, 225.5 Hp/tonne ","3.9 kg/Nm, 254.9 Nm/tonne ",345 Hp @ 6500 rpm. ,95.5,390 Nm @ 4400 rpm.,"Front, Transverse ",3614,6,Boxer ,67,4435,1852,1310,All wheel drive (4x4) ,"6 gears, manual transmission ",10.6,2013
